document,domain,method,context,planned_KL_tokens,planned_NLL_tokens,KL,NLL,late_KL,KL_sum,NLL_sum,status,reason,late_KL_sum,late_tokens,KL_p99,KL_top_one_percent_mean,KL_max,KL_min,quantized_layers,finite_forward_completion,NLL_status,unavailable_native_KL_tokens
r2_technical_prose_sqlite3,technical_prose,R2_DIAG,1024,1008,1007,0.058967820183296465,1.9849547018148619,0.10848598035148828,59.43956274476284,1998.8493847275658,COMPLETE_WINDOW,,55.544821939962,512,0.7501591301050056,1.3693661803965445,3.0759967629851475,2.242176775691031e-06,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_technical_prose_sqlite3,technical_prose,DAMP_R2_PAPER_ADAPTED,1024,1008,1007,0.13211193495293716,2.051479796611451,0.2466784975268819,133.16883043256067,2065.8401551877314,COMPLETE_WINDOW,,126.29939073376353,512,1.6546011072856335,2.485668495457875,4.054122515870397,1.1917894709971724e-06,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_python_code__shape_base_impl,python_code,NATIVE,1024,1008,1007,0.0,1.7566060680035152,0.0,0.0,1768.9023104795397,COMPLETE_WINDOW,,0.0,512,0.0,0.0,0.0,0.0,[],COMPLETE,COMPLETE_WINDOW,0
r2_python_code__shape_base_impl,python_code,LEGACY_DIAG,1024,1008,1007,0.005810503423526893,1.7653823981759276,0.00744660966099575,5.856987450915108,1777.740074963159,COMPLETE_WINDOW,,3.812664146429824,512,0.04389994159357866,0.07321171985822407,0.18462732308759353,3.017913611090899e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_python_code__shape_base_impl,python_code,R2_MATCHED_ENERGY,1024,1008,1007,0.2711446604758791,2.00129094536302,0.5020963947075323,273.3138177596861,2015.2999819805611,COMPLETE_WINDOW,,257.07335409025654,512,3.821518970462233,4.952393542338836,6.6535822917807215,8.503884896064472e-06,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_python_code__shape_base_impl,python_code,R2_DIAG,1024,1008,1007,0.11009054738705694,1.8645911176699077,0.2082247047480883,110.9712717661534,1877.643255493597,COMPLETE_WINDOW,,106.61104883102121,512,1.6775994741600897,4.08360287356954,6.604351820204511,2.35016679471021e-06,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_python_code__shape_base_impl,python_code,DAMP_R2_PAPER_ADAPTED,1024,1008,1007,0.23071406470671896,1.9711774385901715,0.4267398688673534,232.5597772243727,1984.9756806603027,COMPLETE_WINDOW,,218.49081286008493,512,2.8386675147543223,4.693943368302887,6.998093068557075,4.8158624755045355e-06,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_technical_prose_logging,technical_prose,NATIVE,1024,1008,1007,0.0,2.0419821082980203,0.0,0.0,2056.2759830561063,COMPLETE_WINDOW,,0.0,512,0.0,0.0,0.0,0.0,[],COMPLETE,COMPLETE_WINDOW,0
r2_technical_prose_logging,technical_prose,LEGACY_DIAG,1024,1008,1007,0.005230599488539668,2.047788734951163,0.00721500293001941,5.272444284447985,2062.1232560958215,COMPLETE_WINDOW,,3.694081500169938,512,0.03233876292780533,0.06829255813358222,0.22795458730175272,1.4453766082735233e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_technical_prose_logging,technical_prose,R2_MATCHED_ENERGY,1024,1008,1007,0.07633346461744449,2.1070703379034854,0.13739871574475757,76.94413233438405,2121.8198302688097,COMPLETE_WINDOW,,70.34814246131587,512,0.8388407822409982,1.1446446337055904,1.8662861947902616,8.682719037084593e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
