experiment_id,profile,candidate,baseline,window,N,status,mean_KL_candidate,mean_KL_baseline,gain,gain_CI95,mean_NLL_difference,NLL_difference_CI95,wins,ties,losses,n_KL,n_NLL,harmful_KL_mass,beneficial_KL_mass
allocation-confirmation,P_PRE,B_JOINT8_P_PRE,B_DIAG8_P_PRE,prefix512,12,DEFINED,0.000996277393618618,0.0010016869091142287,0.005400405502348216,"[-0.03378588280116478, 0.04260818187995206]",-0.0008215240513900737,"[-0.0013546925301943307, -0.0002227315027381837]",5,0,7,5952,5952,1.632773210060623,1.6649706462904992
allocation-confirmation,P_PRE,B_JOINT8_P_PRE,B_DIAG8_P_PRE,primary1024,12,DEFINED,0.0011717296687019513,0.0011566475589864524,-0.013039503345958714,"[-0.06295779352634456, 0.03345254894305227]",0.000303484024017527,"[-0.00042308965006568095, 0.0010736785623454853]",3,0,9,12096,12084,4.0760282655653155,3.8935950664466406
allocation-confirmation,P_PRE,B_JOINT8_P_PRE,B_DIAG8_P_PRE,late512,12,DEFINED,0.0013416990601889305,0.001306765688550169,-0.026732697334224786,"[-0.1065711228816079, 0.043283027701235766]",0.0013954683790119884,"[3.173571710775663e-05, 0.0029263188276380764]",4,0,8,6144,6132,2.443255055504692,2.228624420156142
allocation-confirmation,P_PRE,B_JOINT8_P_PRE,B_U8_P_PRE,prefix256,12,DEFINED,0.0009175609519084301,0.0013090577417080387,0.29906762499932926,"[0.20733454273932464, 0.36926643266162373]",0.0006673111931945487,"[-0.0020121239653318828, 0.0041242382284328]",11,0,1,2880,2880,0.6055484678944143,1.7330592225172874
allocation-confirmation,P_PRE,B_JOINT8_P_PRE,B_U8_P_PRE,prefix512,12,DEFINED,0.000996277393618618,0.0015273390785894543,0.3477038546419492,"[0.2941909535714481, 0.4015924918997563]",-0.0007083268871003784,"[-0.001872207262811201, 0.0009941215467335223]",12,0,0,5952,5952,1.154443597991787,4.3153227469382065
allocation-confirmation,P_PRE,B_JOINT8_P_PRE,B_U8_P_PRE,primary1024,12,DEFINED,0.0011717296687019513,0.0017555983967886615,0.33257533679383744,"[0.2719065129006278, 0.3989758661050287]",-0.0009429950355544241,"[-0.002294881065338113, 0.0004829561001440338]",12,0,0,12096,12084,3.1706526365301673,10.233128771467012
allocation-confirmation,P_PRE,B_JOINT8_P_PRE,B_U8_P_PRE,late512,12,DEFINED,0.0013416990601889305,0.001976724611294143,0.3212514011698713,"[0.24568262766245103, 0.3994643864663981]",-0.0011707746865000344,"[-0.003164856858989531, 0.0008663190707888093]",12,0,0,6144,6132,2.0162090385383804,5.917806024528804
allocation-confirmation,P_PRE,B_DIAG8_P_PRE,B_DAMP8_P_PRE,prefix256,12,DEFINED,0.0009029954882884711,0.0009796852000237073,0.07827995332927395,"[0.05434522445726852, 0.10276517331751876]",8.929511939883468e-05,"[-0.0011558692715190032, 0.0011649878364186005]",11,0,1,2880,2880,0.704263708242373,0.9251300780398528
allocation-confirmation,P_PRE,B_DIAG8_P_PRE,B_DAMP8_P_PRE,prefix512,12,DEFINED,0.0010016869091142287,0.0011017473217959462,0.09081974668984005,"[0.0454663831575271, 0.1343282941288061]",-5.854270953756691e-05,"[-0.0010778091062819159, 0.0008304528092479]",10,0,2,5952,5952,1.5587840107532478,2.1543435870348295
allocation-confirmation,P_PRE,B_DIAG8_P_PRE,B_DAMP8_P_PRE,primary1024,12,DEFINED,0.0011566475589864524,0.001301183867750228,0.11108061846300143,"[0.06802094095720387, 0.15164708636269889]",-0.0007589711382323211,"[-0.0016356251087382176, 1.0120768551248395e-05]",12,0,0,12096,12084,3.7545357480268873,5.5028469388335175
