method,GT_NLL,FOIL_NLL,LLR,first_difference_feed_index,margin,P_correct,P_wrong
NATIVE_REFERENCE,1.6131995272143946,1.1944351658858743,-0.41876436132852035,1015,-0.375,0.30193984170654,0.4393198774141944
MATCHED_ENERGY8_FROZEN,1.3523987059785831,1.4223861602381511,0.06998745425956798,1015,0.0,0.3750344600844064,0.3750344600844064
DIAG8_FROZEN,1.6036666571816873,1.334281664007527,-0.2693849931741603,1015,-0.25,0.31878601659049993,0.40932934778684193
DAMP8_PAPER_CAL_ADAPTED,1.53824613902432,1.3382061805486174,-0.20003995847570266,1015,-0.25,0.3188796693727437,0.40944960033958644
