experiment,status,candidate,baseline,raw_ratios,median_ratio,p95_ratio,median_ratio_CI95
v05,COST_UNRESOLVED,DIAG8,MATCHED_ENERGY8,"[0.9565445610887517, 0.9748359449426987, 1.0300805646883284, 1.0345800320735448, 1.0543881822624794]",1.0300805646883284,1.0504265522246925,
v05,COST_UNRESOLVED,DIAG8,DAMP8,"[0.9520204478445814, 0.9761600636927875, 0.9648470572482978, 1.1042474910344584, 0.9792482121881815]",0.9761600636927875,1.079247635265203,
v05,COST_UNRESOLVED,DAMP8_REPEAT,DAMP8,"[1.0074734095689466, 0.9646225766582778, 0.9090645950970924, 1.1366683750529298, 0.9932667832170582]",0.9932667832170582,1.1108293819561332,
v06,COST_UNRESOLVED,DIAG,MATCHED,"[1.0150420686838357, 1.0954519194082293, 0.9121244755748543, 0.9716837849646426, 0.8929671596170992, 0.9179338235065557, 1.0028106874236669, 0.7663433630580415]",0.9448088042355991,1.0673084716546914,"[0.8929671596170992, 1.0150420686838357]"
v06,COST_UNRESOLVED,DIAG,DAMP,"[1.1224759522977783, 1.1522336496655934, 0.9262866090865912, 1.072442796415203, 0.9943301069511762, 0.9772474236817693, 1.2598906493514845, 1.073784023360239]",1.0731134098877209,1.2222106994614226,"[0.9772474236817693, 1.1522336496655934]"
v06,COST_UNRESOLVED,DAMP_REPEAT,DAMP,"[1.2360131205237908, 1.2368925494868295, 0.8336097275899893, 0.9385611336467015, 1.0959486925910773, 0.9741329658219651, 1.3348598543173178, 1.213269016074699]",1.154608854332888,1.3005712976266468,"[0.9385611336467015, 1.2368925494868295]"
