document,domain,source_family,label,shared_variant_index,KL,NLL,delta_NLL_ref,late_KL,p99_KL,top1pct_KL,max_KL,top1_agreement,negative_KL_roundoff_count
TEST_NEW__code__beetbox__beets__0,code,beetbox/beets,s2:B_OUTDIAG_OS4x2,2,0.02843268520640175,1.9274105878731467,0.020845741851156827,0.022744699556297456,0.1779985009830555,0.30781320666896994,0.7300820689206582,0.9353535353535354,0
TEST_NEW__code__beetbox__beets__0,code,beetbox/beets,s2:DW_POOL_R8,3,0.02790458809631068,1.9187996176780127,0.012234771656022866,0.022396431611411288,0.1948894957202254,0.2783207701279872,0.45385822699975037,0.9272727272727272,0
TEST_NEW__code__beetbox__beets__0,code,beetbox/beets,ALL_LOW,4,0.04102455949713158,1.9393101011525478,0.03274525513055786,0.033249756974588145,0.26897854226247125,0.35491586038129175,0.47640199288683566,0.9090909090909091,0
TEST_NEW__code__beetbox__beets__0,code,beetbox/beets,ALL_HIGH,5,0.004225907182515377,1.9021429111312933,-0.00442193489069646,0.003223662376063118,0.024895710264724723,0.03978032894787389,0.06423668095162752,0.9616161616161616,0
TEST_NEW__code__beetbox__beets__1,code,beetbox/beets,s0:DW_OS4x2,0,0.030796819505267317,1.8485287551828353,0.024412730887751543,0.02958436221598188,0.20451000283653537,0.2972334413299359,0.541615270508178,0.9232323232323232,0
TEST_NEW__code__beetbox__beets__1,code,beetbox/beets,s1:DW_POOL_R8,0,0.030796819505267317,1.8485287551828353,0.024412730887751543,0.02958436221598188,0.20451000283653537,0.2972334413299359,0.541615270508178,0.9232323232323232,0
TEST_NEW__code__beetbox__beets__1,code,beetbox/beets,s2:DW_OS4x2,0,0.030796819505267317,1.8485287551828353,0.024412730887751543,0.02958436221598188,0.20451000283653537,0.2972334413299359,0.541615270508178,0.9232323232323232,0
TEST_NEW__code__beetbox__beets__1,code,beetbox/beets,s0:DW_POOL_R8,1,0.027790175412512195,1.8547560899397182,0.03064006564463483,0.023946060471456875,0.21392461998891482,0.26972346994232554,0.31307191995374756,0.9171717171717172,0
TEST_NEW__code__beetbox__beets__1,code,beetbox/beets,s0:B_OUTDIAG_POOL_R8,2,0.03176136336013271,1.8660805346509504,0.04196451035586658,0.031148063931010116,0.26007694144817184,0.4291453152629517,0.6993284006773692,0.9292929292929293,0
TEST_NEW__code__beetbox__beets__1,code,beetbox/beets,s0:B_OUTDIAG_OS4x2,2,0.03176136336013271,1.8660805346509504,0.04196451035586658,0.031148063931010116,0.26007694144817184,0.4291453152629517,0.6993284006773692,0.9292929292929293,0
TEST_NEW__code__beetbox__beets__1,code,beetbox/beets,s1:DW_OS4x2,2,0.03176136336013271,1.8660805346509504,0.04196451035586658,0.031148063931010116,0.26007694144817184,0.4291453152629517,0.6993284006773692,0.9292929292929293,0
TEST_NEW__code__beetbox__beets__1,code,beetbox/beets,s1:B_OUTDIAG_POOL_R8,2,0.03176136336013271,1.8660805346509504,0.04196451035586658,0.031148063931010116,0.26007694144817184,0.4291453152629517,0.6993284006773692,0.9292929292929293,0
TEST_NEW__code__beetbox__beets__1,code,beetbox/beets,s1:B_OUTDIAG_OS4x2,2,0.03176136336013271,1.8660805346509504,0.04196451035586658,0.031148063931010116,0.26007694144817184,0.4291453152629517,0.6993284006773692,0.9292929292929293,0
TEST_NEW__code__beetbox__beets__1,code,beetbox/beets,s2:B_OUTDIAG_POOL_R8,2,0.03176136336013271,1.8660805346509504,0.04196451035586658,0.031148063931010116,0.26007694144817184,0.4291453152629517,0.6993284006773692,0.9292929292929293,0
TEST_NEW__code__beetbox__beets__1,code,beetbox/beets,s2:B_OUTDIAG_OS4x2,2,0.03176136336013271,1.8660805346509504,0.04196451035586658,0.031148063931010116,0.26007694144817184,0.4291453152629517,0.6993284006773692,0.9292929292929293,0
TEST_NEW__code__beetbox__beets__1,code,beetbox/beets,s2:DW_POOL_R8,3,0.0264878461948393,1.85333357895558,0.02921755466049628,0.02459738246800184,0.23362404393973332,0.26292051030614483,0.28566884344433957,0.9191919191919192,0
TEST_NEW__code__beetbox__beets__1,code,beetbox/beets,ALL_LOW,4,0.03785491923929845,1.860487608598654,0.036371584303570285,0.033225904937355326,0.28937041777790284,0.3326027815397155,0.3926749128596071,0.9111111111111111,0
TEST_NEW__code__beetbox__beets__1,code,beetbox/beets,ALL_HIGH,5,0.004124529084561918,1.82391511291535,-0.0002009113797337835,0.00433065108140375,0.022673326808394838,0.027150773825492774,0.03217540005120155,0.9676767676767677,0
TEST_NEW__code__jmespath__jmespath.py__0,code,jmespath/jmespath.py,s0:DW_OS4x2,0,0.01949171241203888,1.054583083815667,0.025526492455959632,0.01856586101745776,0.14238900699682666,0.19777903281797538,0.28834465555582195,0.9595959595959596,0
TEST_NEW__code__jmespath__jmespath.py__0,code,jmespath/jmespath.py,s1:DW_POOL_R8,0,0.01949171241203888,1.054583083815667,0.025526492455959632,0.01856586101745776,0.14238900699682666,0.19777903281797538,0.28834465555582195,0.9595959595959596,0
TEST_NEW__code__jmespath__jmespath.py__0,code,jmespath/jmespath.py,s2:DW_OS4x2,0,0.01949171241203888,1.054583083815667,0.025526492455959632,0.01856586101745776,0.14238900699682666,0.19777903281797538,0.28834465555582195,0.9595959595959596,0
TEST_NEW__code__jmespath__jmespath.py__0,code,jmespath/jmespath.py,s0:DW_POOL_R8,1,0.02046671067937484,1.0373432838830707,0.008286692523363223,0.02153491434729254,0.17650549595286472,0.304959556847084,0.6726227912453264,0.9454545454545454,0
TEST_NEW__code__jmespath__jmespath.py__0,code,jmespath/jmespath.py,s0:B_OUTDIAG_POOL_R8,2,0.021210075168021363,1.0518198827181517,0.022763291358444408,0.021816619140845445,0.14003635674097292,0.303238753831495,0.5455553142375753,0.9434343434343434,0
TEST_NEW__code__jmespath__jmespath.py__0,code,jmespath/jmespath.py,s0:B_OUTDIAG_OS4x2,2,0.021210075168021363,1.0518198827181517,0.022763291358444408,0.021816619140845445,0.14003635674097292,0.303238753831495,0.5455553142375753,0.9434343434343434,0
TEST_NEW__code__jmespath__jmespath.py__0,code,jmespath/jmespath.py,s1:DW_OS4x2,2,0.021210075168021363,1.0518198827181517,0.022763291358444408,0.021816619140845445,0.14003635674097292,0.303238753831495,0.5455553142375753,0.9434343434343434,0
TEST_NEW__code__jmespath__jmespath.py__0,code,jmespath/jmespath.py,s1:B_OUTDIAG_POOL_R8,2,0.021210075168021363,1.0518198827181517,0.022763291358444408,0.021816619140845445,0.14003635674097292,0.303238753831495,0.5455553142375753,0.9434343434343434,0
TEST_NEW__code__jmespath__jmespath.py__0,code,jmespath/jmespath.py,s1:B_OUTDIAG_OS4x2,2,0.021210075168021363,1.0518198827181517,0.022763291358444408,0.021816619140845445,0.14003635674097292,0.303238753831495,0.5455553142375753,0.9434343434343434,0
TEST_NEW__code__jmespath__jmespath.py__0,code,jmespath/jmespath.py,s2:B_OUTDIAG_POOL_R8,2,0.021210075168021363,1.0518198827181517,0.022763291358444408,0.021816619140845445,0.14003635674097292,0.303238753831495,0.5455553142375753,0.9434343434343434,0
TEST_NEW__code__jmespath__jmespath.py__0,code,jmespath/jmespath.py,s2:B_OUTDIAG_OS4x2,2,0.021210075168021363,1.0518198827181517,0.022763291358444408,0.021816619140845445,0.14003635674097292,0.303238753831495,0.5455553142375753,0.9434343434343434,0
TEST_NEW__code__jmespath__jmespath.py__0,code,jmespath/jmespath.py,s2:DW_POOL_R8,3,0.019508685020448124,1.0430758390891972,0.014019247729489906,0.020451071700013094,0.17835535703966465,0.3093745620378884,0.5429437436060927,0.9535353535353536,0
TEST_NEW__code__jmespath__jmespath.py__0,code,jmespath/jmespath.py,ALL_LOW,4,0.02902008427721578,1.0417220375270073,0.012665446167300056,0.029332228417808998,0.22232396789234693,0.3989412410216092,0.8220504112405294,0.9313131313131313,0
TEST_NEW__code__jmespath__jmespath.py__0,code,jmespath/jmespath.py,ALL_HIGH,5,0.002972179466796362,1.0295330537224732,0.0004764623627658303,0.0034040586156616572,0.01828947579181131,0.02523229867357744,0.034869167567269876,0.9818181818181818,0
TEST_NEW__code__jmespath__jmespath.py__1,code,jmespath/jmespath.py,s0:DW_OS4x2,0,0.018848149073021805,0.8411658822400302,0.0028679967768971797,0.02236633274826535,0.15821238010157962,0.22795534172863885,0.40771002189028227,0.9535353535353536,0
TEST_NEW__code__jmespath__jmespath.py__1,code,jmespath/jmespath.py,s1:DW_POOL_R8,0,0.018848149073021805,0.8411658822400302,0.0028679967768971797,0.02236633274826535,0.15821238010157962,0.22795534172863885,0.40771002189028227,0.9535353535353536,0
TEST_NEW__code__jmespath__jmespath.py__1,code,jmespath/jmespath.py,s2:DW_OS4x2,0,0.018848149073021805,0.8411658822400302,0.0028679967768971797,0.02236633274826535,0.15821238010157962,0.22795534172863885,0.40771002189028227,0.9535353535353536,0
TEST_NEW__code__jmespath__jmespath.py__1,code,jmespath/jmespath.py,s0:DW_POOL_R8,1,0.013316379956153115,0.8420619316665005,0.0037640462033673694,0.01138920143086702,0.09247657314988246,0.11021791696407945,0.1410725604412266,0.9494949494949495,0
TEST_NEW__code__jmespath__jmespath.py__1,code,jmespath/jmespath.py,s0:B_OUTDIAG_POOL_R8,2,0.01766608085332534,0.8432860758336829,0.004988190370550011,0.0210569067268986,0.16789000279784133,0.23832140947737218,0.354679823131989,0.9454545454545454,0
TEST_NEW__code__jmespath__jmespath.py__1,code,jmespath/jmespath.py,s0:B_OUTDIAG_OS4x2,2,0.01766608085332534,0.8432860758336829,0.004988190370550011,0.0210569067268986,0.16789000279784133,0.23832140947737218,0.354679823131989,0.9454545454545454,0
TEST_NEW__code__jmespath__jmespath.py__1,code,jmespath/jmespath.py,s1:DW_OS4x2,2,0.01766608085332534,0.8432860758336829,0.004988190370550011,0.0210569067268986,0.16789000279784133,0.23832140947737218,0.354679823131989,0.9454545454545454,0
TEST_NEW__code__jmespath__jmespath.py__1,code,jmespath/jmespath.py,s1:B_OUTDIAG_POOL_R8,2,0.01766608085332534,0.8432860758336829,0.004988190370550011,0.0210569067268986,0.16789000279784133,0.23832140947737218,0.354679823131989,0.9454545454545454,0
TEST_NEW__code__jmespath__jmespath.py__1,code,jmespath/jmespath.py,s1:B_OUTDIAG_OS4x2,2,0.01766608085332534,0.8432860758336829,0.004988190370550011,0.0210569067268986,0.16789000279784133,0.23832140947737218,0.354679823131989,0.9454545454545454,0
TEST_NEW__code__jmespath__jmespath.py__1,code,jmespath/jmespath.py,s2:B_OUTDIAG_POOL_R8,2,0.01766608085332534,0.8432860758336829,0.004988190370550011,0.0210569067268986,0.16789000279784133,0.23832140947737218,0.354679823131989,0.9454545454545454,0
TEST_NEW__code__jmespath__jmespath.py__1,code,jmespath/jmespath.py,s2:B_OUTDIAG_OS4x2,2,0.01766608085332534,0.8432860758336829,0.004988190370550011,0.0210569067268986,0.16789000279784133,0.23832140947737218,0.354679823131989,0.9454545454545454,0
