document,domain,method,context,planned_KL_tokens,planned_NLL_tokens,KL,NLL,late_KL,KL_sum,NLL_sum,status,reason,late_KL_sum,late_tokens,KL_p99,KL_top_one_percent_mean,KL_max,KL_min,quantized_layers
test_natural_language_0,natural_language,NATIVE,512,496,495,0.0,0.9943686805454119,0.0,0.0,492.2124968699789,COMPLETE_WINDOW,,0.0,256,0.0,0.0,0.0,0.0,[]
test_natural_language_0,natural_language,MATCHED_ENERGY,512,496,495,0.0009719486306761897,0.9974861007822392,0.0008368959261084158,0.4820865208153901,493.7556198872084,COMPLETE_WINDOW,,0.21424535708375445,256,0.011164702375838605,0.013835627485710558,0.021730759227196767,4.3591043215503326e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]"
test_natural_language_0,natural_language,RTPA_DIAG,512,496,495,0.0008168308209950943,0.9910387888434142,0.0006981739828851441,0.40514808721356677,490.56420047749003,COMPLETE_WINDOW,,0.1787325396185969,256,0.009219027000489259,0.01661807464103155,0.022951287106905638,2.8584917989892827e-06,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]"
test_natural_language_0,natural_language,DAMP_PAPER_ADAPTED,512,496,495,0.000996178196821349,0.9949550303946497,0.0008563726495777089,0.4941043856233891,492.50274004535163,COMPLETE_WINDOW,,0.21923139829189348,256,0.010303121629159872,0.01566724285392798,0.028681380321476213,1.7999855635241364e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]"
test_natural_language_0,natural_language,STORED_NEAREST,512,496,495,0.0005026141978890721,0.9951673049766697,0.0003712375663678732,0.24929664215297975,492.6078159634515,COMPLETE_WINDOW,,0.09503681699017553,256,0.0033462096071120305,0.005970190213018981,0.010353549476007841,9.374485004823478e-08,"[0, 12, 22]"
test_natural_language_0,natural_language,FA_CODE_FACTORIZED,512,496,495,0.0004114155677988513,0.9969115077573499,0.00035090070484833374,0.20406212162823023,493.4711963398882,COMPLETE_WINDOW,,0.08983058044117344,256,0.0024952985319938803,0.0038574489489235295,0.006684271299431912,6.223378834447939e-08,"[0, 12, 22]"
test_natural_language_1,natural_language,NATIVE,512,496,495,0.0,0.9820834104942525,0.0,0.0,486.131288194655,COMPLETE_WINDOW,,0.0,256,0.0,0.0,0.0,0.0,[]
test_natural_language_1,natural_language,MATCHED_ENERGY,512,496,495,0.0011241138420701408,0.9817886026358867,0.0008434880800806101,0.5575604656667899,485.98535830476396,COMPLETE_WINDOW,,0.21593294850063618,256,0.012641472830376808,0.02063145148689064,0.03937992915722512,6.921632983442739e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]"
test_natural_language_1,natural_language,RTPA_DIAG,512,496,495,0.0009122169125775629,0.9839535099710213,0.0008380043834576154,0.4524595886384712,487.0569874356555,COMPLETE_WINDOW,,0.21452912216514955,256,0.007478657094874215,0.015657641302965562,0.020525283583739368,5.069255204038787e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]"
test_natural_language_1,natural_language,DAMP_PAPER_ADAPTED,512,496,495,0.0009049698547418175,0.9781729377424129,0.0007549112585865409,0.4488650479519415,484.1956041824944,COMPLETE_WINDOW,,0.19325728219815447,256,0.007614415234897491,0.0114150007801157,0.01730324717400444,7.570798175547184e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]"
test_natural_language_1,natural_language,STORED_NEAREST,512,496,495,0.00045137579583384653,0.9820127672916881,0.00037086496002203327,0.22388239473358787,486.0963198093856,COMPLETE_WINDOW,,0.09494142976564052,256,0.002765098835724972,0.0038049509120041645,0.0059816186467902595,1.0108353141905367e-07,"[0, 12, 22]"
test_natural_language_1,natural_language,FA_CODE_FACTORIZED,512,496,495,0.000396159091639508,0.9827487203767856,0.0003634850416557533,0.19649490945319595,486.4606165865089,COMPLETE_WINDOW,,0.09305217066387285,256,0.0023342924698621773,0.005212364302405599,0.010290189584581552,3.188700540994222e-08,"[0, 12, 22]"
test_natural_language_2,natural_language,NATIVE,512,496,495,0.0,0.9946871545144175,0.0,0.0,492.37014148463663,COMPLETE_WINDOW,,0.0,256,0.0,0.0,0.0,0.0,[]
test_natural_language_2,natural_language,MATCHED_ENERGY,512,496,495,0.0008889557343082529,0.9947119636658089,0.0006953914684681744,0.4409220442168934,492.3824220145754,COMPLETE_WINDOW,,0.17802021592785264,256,0.007640190391603764,0.010374667545316164,0.013172127120370178,2.147337236543444e-06,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]"
test_natural_language_2,natural_language,RTPA_DIAG,512,496,495,0.0007970739357642578,0.9951693655215889,0.0006835281979832856,0.3953486721390719,492.60883593318647,COMPLETE_WINDOW,,0.1749832186837211,256,0.00725808571498852,0.010632595918256266,0.015856721038128657,3.0225042720904094e-06,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]"
test_natural_language_2,natural_language,DAMP_PAPER_ADAPTED,512,496,495,0.001014433364375139,0.994944584716979,0.0008072466569126161,0.503158948730069,492.4975694349046,COMPLETE_WINDOW,,0.2066551441696297,256,0.011236675003176292,0.015672207402412975,0.020378477269865226,7.953612547484952e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]"
test_natural_language_2,natural_language,STORED_NEAREST,512,496,495,0.0005107302684849291,0.9954484644540302,0.0003587190227339888,0.2533222131685248,492.74698990474496,COMPLETE_WINDOW,,0.09183206981990114,256,0.004462537343203139,0.00691188869223418,0.012917275122229932,2.5796223686995657e-08,"[0, 12, 22]"
test_natural_language_2,natural_language,FA_CODE_FACTORIZED,512,496,495,0.0004391347077026986,0.9966084957940229,0.00037488014923391636,0.2178108150205385,493.3212054180413,COMPLETE_WINDOW,,0.09596931820388259,256,0.0032487703758371043,0.004349978845838878,0.005922440638741644,1.6281772536905033e-07,"[0, 12, 22]"
test_natural_language_3,natural_language,NATIVE,512,496,495,0.0,0.9466010444766324,0.0,0.0,468.56751701593305,COMPLETE_WINDOW,,0.0,256,0.0,0.0,0.0,0.0,[]
test_natural_language_3,natural_language,MATCHED_ENERGY,512,496,495,0.0009624544968043496,0.9483650317091625,0.0007194393216145876,0.4773774304149574,469.44069069603546,COMPLETE_WINDOW,,0.18417646633333443,256,0.008549962957119813,0.012794577905794805,0.02164943025307924,7.885933103481855e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]"
test_natural_language_3,natural_language,RTPA_DIAG,512,496,495,0.0007589803315416928,0.9469972012899596,0.0006423114852740806,0.3764542444446796,468.76361463853,COMPLETE_WINDOW,,0.16443174023016463,256,0.006154559159043228,0.008256018490257092,0.013790817180921316,2.791996444980365e-06,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]"
test_natural_language_3,natural_language,DAMP_PAPER_ADAPTED,512,496,495,0.0010024411600537274,0.9473119757255503,0.0007927720836209397,0.4972108153866488,468.9194279841474,COMPLETE_WINDOW,,0.20294965340696056,256,0.00842267235852911,0.01287659836121699,0.015163527645407852,2.1422993514569977e-06,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]"
test_natural_language_3,natural_language,STORED_NEAREST,512,496,495,0.00039883415341431997,0.9474865302365528,0.00029372568625054223,0.1978217400935027,469.0058324670936,COMPLETE_WINDOW,,0.07519377568013881,256,0.0024177173691590863,0.0027518615362209435,0.003668305325251966,1.1397602486576005e-07,"[0, 12, 22]"
test_natural_language_3,natural_language,FA_CODE_FACTORIZED,512,496,495,0.0003848050731742379,0.9473336678340667,0.0003274914827131272,0.190863316294422,468.930165577863,COMPLETE_WINDOW,,0.08383781957456056,256,0.00253102131254994,0.0036336233871645815,0.004749000249098473,8.335688279995093e-08,"[0, 12, 22]"
test_code_0,code,NATIVE,512,496,495,0.0,0.8891055555312823,0.0,0.0,440.10724998798474,COMPLETE_WINDOW,,0.0,256,0.0,0.0,0.0,0.0,[]
test_code_0,code,MATCHED_ENERGY,512,496,495,0.0007318734195755309,0.8911534688858544,0.0005227813372095265,0.3630092161094633,441.12096709849794,COMPLETE_WINDOW,,0.1338320223256388,256,0.005156098864191683,0.007473155402674121,0.010015546583663042,9.289065470604501e-08,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]"
test_code_0,code,RTPA_DIAG,512,496,495,0.0006350944899545842,0.8897284135043058,0.0005622129099351092,0.31500686701747377,440.41556468463136,COMPLETE_WINDOW,,0.14392650494338796,256,0.00351439388324797,0.0046357762969807354,0.006850171569047239,2.950207328983754e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]"
test_code_0,code,DAMP_PAPER_ADAPTED,512,496,495,0.0006834254916761447,0.8891308679948615,0.0005335722323899996,0.33897904387136774,440.11977965745643,COMPLETE_WINDOW,,0.1365944914918399,256,0.005194108928478011,0.006202148642494794,0.0068400675186215745,1.0775869331567576e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]"
test_code_0,code,STORED_NEAREST,512,496,495,0.000449300757929934,0.8887641253081449,0.00038690854983478425,0.22285317593324727,439.9382420275317,COMPLETE_WINDOW,,0.09904858875770477,256,0.0021516331505774438,0.0032645719674813355,0.0056170092563273145,2.7570225536800033e-08,"[0, 12, 22]"
test_code_0,code,FA_CODE_FACTORIZED,512,496,495,0.00044929323096614955,0.8903878914822263,0.0003843434057106773,0.2228494425592102,440.74200628370204,COMPLETE_WINDOW,,0.09839191186193338,256,0.0024407182169601084,0.0035603647784739115,0.005453896260568939,1.1888614926021761e-08,"[0, 12, 22]"
test_code_1,code,NATIVE,512,496,495,0.0,0.8876466905998828,0.0,0.0,439.385111846942,COMPLETE_WINDOW,,0.0,256,0.0,0.0,0.0,0.0,[]
