sequence_id,domain,method,window,mean_KL,sum_KL,mean_NLL,delta_NLL_native,max_KL,p95_KL,p99_KL,n_KL,n_NLL,nonfinite
rtpa_v02_natural_language_confirm0,natural_language,NATIVE_REFERENCE,primary,0.0,0.0,1.5258656775938997,0.0,0.0,0.0,0.0,1008,1007,0
rtpa_v02_natural_language_confirm0,natural_language,NATIVE_REFERENCE,early,0.0,0.0,1.924105405792036,0.0,0.0,0.0,0.0,496,496,0
rtpa_v02_natural_language_confirm0,natural_language,NATIVE_REFERENCE,late,0.0,0.0,1.139315960986707,0.0,0.0,0.0,0.0,512,511,0
rtpa_v02_natural_language_confirm0,natural_language,B_U8_P_STORE,primary,0.0024940740760433784,2.5140266686517254,1.5233045847018676,-0.002561092892032102,0.05972818553390731,0.009042006682805108,0.017620855666813064,1008,1007,0
rtpa_v02_natural_language_confirm0,natural_language,B_U8_P_STORE,early,0.0022276591369115887,1.104918931908148,1.9220860446223287,-0.0020193611697072456,0.05972818553390731,0.007317430960366465,0.017524134234139024,496,496,0
rtpa_v02_natural_language_confirm0,natural_language,B_U8_P_STORE,late,0.0027521635483272995,1.4091077367435774,1.1362290384777016,-0.00308692250900533,0.04541370967268242,0.010271060283077955,0.024399613141778142,512,511,0
rtpa_v02_natural_language_confirm0,natural_language,B_DAMP8_P_STORE,primary,0.0018364727180359525,1.85116449978024,1.5254788831251322,-0.0003867944687674374,0.04541500099558201,0.005817179490899264,0.01568852230687444,1008,1007,0
rtpa_v02_natural_language_confirm0,natural_language,B_DAMP8_P_STORE,early,0.0017965176341828543,0.8910727465546957,1.9267649931423967,0.0026595873503607592,0.04541500099558201,0.005300877276655616,0.01581711938738715,496,496,0
rtpa_v02_natural_language_confirm0,natural_language,B_DAMP8_P_STORE,late,0.001875179205518641,0.9600917532255442,1.1359722088226605,-0.0033437521640464762,0.0374980893023911,0.0063500662095380914,0.015513105010226654,512,511,0
rtpa_v02_natural_language_confirm0,natural_language,B_DIAG8_P_STORE,primary,0.0014507531836388207,1.4623592091079312,1.5222242076803845,-0.003641469913515216,0.027442864409826205,0.004950984568041002,0.012030304050037213,1008,1007,0
rtpa_v02_natural_language_confirm0,natural_language,B_DIAG8_P_STORE,early,0.0013088720977844199,0.6492005605010723,1.9222317855768951,-0.0018736202151408143,0.01597000940982679,0.004237100529522835,0.007588744974101582,496,496,0
