sequence_id,domain,method,window,n_KL,n_NLL,mean_KL,sum_KL,mean_NLL,delta_NLL_vs_native,max_token_KL,p95_token_KL,p99_token_KL,min_token_KL,nonfinite
rtpa_v02_natural_language_confirm1,natural_language,Q8_TARGET3,early,496,496,0.01255104288995105,6.225317273415721,2.538005449852068,0.009746860405354774,0.15619173986777168,0.04122224902766963,0.07538324898847731,5.620082038891632e-07,0
rtpa_v02_natural_language_confirm1,natural_language,Q8_TARGET3,late,512,511,0.010654497992447037,5.455102972132882,1.4065017694813047,-0.004702849400638032,0.15802406756184048,0.03661752395934675,0.08432802690512443,9.354736825637722e-07,0
rtpa_v02_natural_language_confirm1,natural_language,FP16_TARGET3,primary,1008,1007,0.0007933763787950557,0.799723389825416,1.959429722527834,-0.0019822145270245173,0.010363549856660827,0.002252506522604267,0.0043997215689011325,8.542128332563173e-08,0
rtpa_v02_natural_language_confirm1,natural_language,FP16_TARGET3,early,496,496,0.0008835281284326168,0.43822995170257795,2.5247329240918104,-0.0035256653549029515,0.010363549856660827,0.0022031331534429714,0.0039044075808350384,4.278662312276712e-07,0
rtpa_v02_natural_language_confirm1,natural_language,FP16_TARGET3,late,512,511,0.0007060418713336682,0.36149343812283813,1.4107205484070273,-0.0004840704749153879,0.006835318832469549,0.0023250333825414297,0.004554481013719953,8.542128332563173e-08,0
rtpa_v02_natural_language_confirm1,natural_language,ENERGY_TARGET3,primary,1008,1007,0.00920220124962598,9.275818859622985,1.9645276222704833,0.003115685215624664,0.13459088405643033,0.03219582951861273,0.06170718789364835,4.859296610317881e-07,0
rtpa_v02_natural_language_confirm1,natural_language,ENERGY_TARGET3,early,496,496,0.008992333267134198,4.460197300498563,2.5364354136385723,0.008176824191858945,0.1302234787577686,0.02827984096855594,0.05423008690217987,4.859296610317881e-07,0
rtpa_v02_natural_language_confirm1,natural_language,ENERGY_TARGET3,late,512,511,0.00940551085766489,4.815621559124423,1.4094077308447062,-0.0017968880372365437,0.13459088405643033,0.038123535456903244,0.06848445043022733,6.283747119053567e-07,0
rtpa_v02_natural_language_confirm1,natural_language,DIAG_TARGET3,primary,1008,1007,0.007279319694379605,7.337554251934642,1.9653678790828304,0.003955942027971782,0.17950872200795318,0.025652632671515397,0.06411316155666281,1.8611059078654663e-07,0
rtpa_v02_natural_language_confirm1,natural_language,DIAG_TARGET3,early,496,496,0.007124317574438832,3.533661516921661,2.527053410653879,-0.0012051787928344382,0.10429288360067387,0.023177558120288547,0.04933666429185244,1.8611059078654663e-07,0
rtpa_v02_natural_language_confirm1,natural_language,DIAG_TARGET3,late,512,511,0.0074294779980722285,3.803892735012981,1.4201701811195424,0.0089655622375997,0.17950872200795318,0.0275672280331737,0.06448172279342831,7.547674966264675e-07,0
rtpa_v02_natural_language_confirm1,natural_language,JOINT_TARGET3,primary,1008,1007,0.006853243735849921,6.908069685736721,1.9637134847728062,0.0023015477179475496,0.155402873086736,0.023313386296754387,0.05023775173311133,6.631646312565038e-08,0
rtpa_v02_natural_language_confirm1,natural_language,JOINT_TARGET3,early,496,496,0.006018127182668013,2.9849910826033352,2.5279506837192858,-0.00030790572742755984,0.06436832549766494,0.019200723139562833,0.031577097106653865,6.631646312565038e-08,0
rtpa_v02_natural_language_confirm1,natural_language,JOINT_TARGET3,late,512,511,0.007662262896744894,3.9230786031333857,1.4160390216075343,0.004834402725591547,0.155402873086736,0.02916447878730922,0.07613761424592082,6.6803210881394e-07,0
rtpa_v02_natural_language_confirm2,natural_language,NATIVE_REFERENCE,primary,1008,1007,0.0,0.0,1.4628176239243829,0.0,0.0,0.0,0.0,0.0,0
rtpa_v02_natural_language_confirm2,natural_language,NATIVE_REFERENCE,early,496,496,0.0,0.0,1.765680962416305,0.0,0.0,0.0,0.0,0.0,0
rtpa_v02_natural_language_confirm2,natural_language,NATIVE_REFERENCE,late,512,511,0.0,0.0,1.1688445986954332,0.0,0.0,0.0,0.0,0.0,0
rtpa_v02_natural_language_confirm2,natural_language,Q8_TARGET3,primary,1008,1007,0.013317252657446014,13.423790678705583,1.4616147002109556,-0.0012029237134272286,0.7757850723273167,0.0611709914122237,0.13170909587921228,2.555410185308284e-07,0
rtpa_v02_natural_language_confirm2,natural_language,Q8_TARGET3,early,496,496,0.01667728497740564,8.271933348793198,1.7609762700414342,-0.004704692374870811,0.7757850723273167,0.06963523172492718,0.1388779035666931,3.1895674845346897e-06,0
rtpa_v02_natural_language_confirm2,natural_language,Q8_TARGET3,late,512,511,0.010062221347485125,5.151857329912385,1.1710406519997671,0.0021960533043339225,0.3801571121641067,0.049125264913252004,0.10320242262699458,2.555410185308284e-07,0
rtpa_v02_natural_language_confirm2,natural_language,FP16_TARGET3,primary,1008,1007,0.0013686825011421553,1.3796319611512926,1.4631350184354448,0.0003173945110619414,0.3204417314539486,0.00273046566694212,0.011352423218786812,2.2624327998692042e-09,0
rtpa_v02_natural_language_confirm2,natural_language,FP16_TARGET3,early,496,496,0.0010520350743617062,0.5218093968834063,1.7661071871667509,0.0004262247504458472,0.05181458901074471,0.0028452609872588485,0.006943574888295069,1.350425550057532e-08,0
rtpa_v02_natural_language_confirm2,natural_language,FP16_TARGET3,late,512,511,0.0016754346958357158,0.8578225642678863,1.1690563575925332,0.00021175889710001172,0.3204417314539486,0.002201317651828712,0.0227767129026955,2.2624327998692042e-09,0
rtpa_v02_natural_language_confirm2,natural_language,ENERGY_TARGET3,primary,1008,1007,0.009627478807518011,9.704498637978157,1.4635521119686383,0.0007344880442554658,0.3539934072221468,0.042404673025166595,0.12222431185792834,1.711540376949975e-07,0
rtpa_v02_natural_language_confirm2,natural_language,ENERGY_TARGET3,early,496,496,0.01222727677490573,6.064729280353243,1.763934965361002,-0.0017459970553030946,0.3539934072221468,0.053681838806823284,0.12292407407930607,3.327527291001449e-06,0
